auteur,references
C. Itzykson,"[9201001, 9201055, 9212108, 9412175]"
J.-B. Zuber,"[9201001, 9201055, 9211138, 9306018, 9311104, 9312209, 9410209, 9412202, 9510175, 9701103, 9809097, 9219, 11021, 101151, 103007, 201239]"
F.Bonechi,"[9201002, 9203048, 9204054, 9312129, 9409048]"
 E.Celeghini,"[9201002, 9203048, 9204054]"
 R.Giachetti,"[9201002, 9203048, 9312129, 9409048, 304055]"
 E.Sorace,"[9201002, 9203048, 9312129, 9409048]"
M.Tarlini,"[9201002, 9203048, 9204054, 9409048]"
Robbert Dijkgraaf,"[9201003, 9801066, 5003, 206255, 207106, 208048, 210238, 211194, 211241, 302011]"
Nathan Berkovits,"[9201004, 9208035, 9211025, 9303025, 9303122, 9306109, 9308128, 9308129, 9310170, 9312013, 9404162, 9405144, 9407190, 9412179, 9503099, 9506036, 9510106, 9604120, 9604121, 9604123, 9607070, 9610134, 9610226, 9711087, 9803145, 9912120, 2211, 4171, 9168, 105149, 107140, 110168, 112160, 204121, 205154, 208092]"
Igor R. Klebanov,"[9201005, 9204052, 9210105, 9310098, 9311092, 9407014, 9407167, 9409064, 9507062, 9511173, 9604065, 9606136, 9608108, 9612051, 9701187, 9702076, 9703216, 9704112, 9708005, 9709108, 9709160, 9710240, 9807080, 9808075, 9812089, 9901018, 9905104, 9906220, 9908165, 9909109, 9911096, 6085, 9017, 9139, 101020, 111078, 202056, 206221, 212138, 304079]"
Denis Bernard,"[9201006, 9211133, 9411017, 9412194, 9509137, 9612210, 103096, 210015, 301064]"
Mirjam Cvetic,"[9201007, 9202067, 9205029, 9206004, 9209117, 9210006, 9304062, 9306015, 9311176, 9312184, 9402089, 9411170, 9502099, 9502119, 9503082, 9507090, 9510098, 9512127, 9603100, 9603147, 9604090, 9605051, 9606193, 9612229, 9703134, 9703204, 9705192, 9706071, 9708090, 9709033, 9712118, 9805097, 9805146, 9810142, 9909058, 9911021, 9912187, 1159, 2057, 6049, 10091, 101007, 107143, 107166, 111179, 201272, 206115, 212177, 303083, 303197, 303208]"
 Stephen Griffies,"[9201007, 9206004, 9212020]"
 Soo-Jong Rey,"[9201007, 9810154, 9812062, 9902101, 9902173, 9903129, 8214, 12165, 107106, 111059, 203080]"
Satoshi Matsuda,"[9201008, 9403035, 9609184, 9610212, 8216, 105080]"
Eva Silverstein,"[9201009, 9403054, 9503150, 9503212, 9508096, 9608194, 9610205, 9611195, 9612162, 9703052, 9704185, 9709118, 9709209, 9712166, 9807076, 9907038, 9912244, 1206, 2121, 9057, 10144, 103220, 106209, 112178, 304220]"
A.Marshakov,"[9201010, 9201011, 9203044, 9303101, 9404126, 9602005, 9607109, 9607159, 9608161, 9706050, 9709001, 9711156, 9809196, 9903252, 9906029, 9912124, 11222, 104109, 108023, 109048, 201267, 202172]"
 A.Mironov,"[9201010, 9201011, 9201013, 9203043, 9203044, 9312210, 9405011, 9505035, 9601161, 9603140, 9604078, 9606144, 9607109, 9710239, 9802007, 9809196, 9812078, 9902205, 9906240, 5244, 105169, 301071]"
A.Morozov,"[9201010, 9201011, 9311142, 9502091, 9505035, 9603140, 9604078, 9607109, 9706050, 9711194, 9712177, 9802007, 9810031, 9902205, 9903087, 9906240, 1168, 5244, 5280, 105169, 107114]"
A.Mironov,"[9201012, 9312212, 9404005, 9409190, 9607123, 9707120, 9711156, 9712177, 9801149, 9902030, 9903088, 9912088, 1168, 5280, 10078, 11093, 11197, 104253, 107114, 205202, 209085, 301196]"
A.Zabrodin,"[9201012, 9201013, 9704090, 9709168, 109048, 210159]"
S.Kharchev,"[9201013, 9203043, 9210072, 9303100, 9312210, 9606144]"
 A.Marshakov,"[9201013, 9203043, 9210072, 9303100, 9312210, 9401010, 9503018, 9505035, 9510224, 9601161, 9603140, 9604078, 9802007, 9812078, 9902205, 9906240, 9060, 301071]"
 A.Morozov,"[9201013, 9203043, 9203044, 9312145, 9312210, 9404005, 9405011, 9601161, 9603066, 9812078, 9912088, 5053]"
P. Berglund,"[9201014, 9303104, 9303158, 9311014, 9311143, 9401029, 9406008, 9406045, 9411131, 9505164, 9506091, 9605154, 9708063, 9803168, 9805189, 9811217, 9904114, 5162, 12042, 12180, 104057, 112079, 201187]"
T. Hübsch,"[9201014, 9303158]"
S. Kar,"[9201015, 9507063]"
 S. Khastgir,[9201015]
A. Kumar,[9201015]
Leonardo Castellani,"[9201016, 9205103, 9208037, 9211032, 9212013, 9212141, 9304161, 9312179, 9402033, 9411039, 9509031, 9912277, 5210, 109163]"
