,id_paper,Authors
0,9201001,"['C. Itzykson', 'J.-B. Zuber']"
1,9201002,"['F.Bonechi', 'E.Celeghini', 'R.Giachetti', 'E.Sorace', 'M.Tarlini']"
2,9201003,['Robbert Dijkgraaf']
3,9201004,['Nathan Berkovits']
4,9201005,['Igor R. Klebanov']
5,9201006,['Denis Bernard']
6,9201007,"['Mirjam Cvetic', 'Stephen Griffies', 'Soo-Jong Rey']"
7,9201008,['Satoshi Matsuda']
8,9201009,['Eva Silverstein']
9,9201010,"['A.Marshakov', 'A.Mironov', 'A.Morozov']"
10,9201011,"['A.Marshakov', 'A.Mironov', 'A.Morozov']"
11,9201012,"['A.Mironov', 'A.Zabrodin']"
12,9201013,"['S.Kharchev', 'A.Marshakov', 'A.Mironov', 'A.Morozov', 'A.Zabrodin']"
13,9201014,"['P. Berglund', 'T. Hubsch']"
14,9201015,"['S. Kar', 'S. Khastgir', 'A. Kumar']"
15,9201016,['Leonardo Castellani']
16,9201017,"['Nathan Seiberg', 'Stephen Shenker']"
17,9201018,['Waichi Ogura']
18,9201019,"['J. A. Dixon', 'M. J. Duff', 'and E. Sezgin']"
19,9201020,"['A.S. Galperin', 'K.S. Stelle']"
20,9201021,"['J. Russo', 'A.A. Tseytlin']"
21,9201022,['Hiroki Fukutaka']
22,9201023,['C.N. Pope']
23,9201024,"['H. Aratyn', 'L.A. Ferreira', 'J.F. Gomes', 'A.H. Zimerman']"
24,9201025,"['M.Forger', 'J.Laartz', 'U.Schaeper']"
25,9201026,"['Jean-Loup Gervais', 'and Yutaka Matsuo']"
26,9201027,"['J. M. Isidro', 'J. M. F. Labastida', 'A. V. Ramallo']"
27,9201028,"['Terry Gannon (Carleton University)', 'C.S. Lam (McGill University)']"
28,9201029,['Renata Kallosh']
29,9201030,"['L.A. Ferreira', 'J.F. Gomes', 'R.M. Ricotta', 'A.H. Zimerman']"
30,9201031,['M.~Ruiz--Altaba']
31,9201032,['Marcio J. Martins']
32,9201033,"['L. Chekhov', 'Yu. Makeenko']"
33,9201034,"['Katsumi Itoh', 'Nobuyoshi Ohta']"
34,9201035,"['O. Babelon', 'M. Talon']"
35,9201036,"['Mordechai Spiegelglas', 'Shimon Yankielowicz']"
36,9201037,['Joshua Feinberg']
37,9201038,"['L. Feher', 'L. ORaifeartaigh', 'P. Ruelle', 'I. Tsutsui']"
38,9201039,"['I. Jack', 'D. R. T. Jones', 'J. Panvel']"
39,9201040,"['Taichiro Kugo', 'Barton Zwiebach']"
40,9201041,['Ashoke Sen']
41,9201042,"['Alberto Carlini', 'Maurizio Martellini']"
42,9201043,"['Alberto Carlini', 'Maurizio Martellini']"
43,9201044,"['M.A.R. Osorio', 'M.A. Vazquez-Mozo']"
44,9201045,"['Ramzi R. Khuri', 'HoSeong La']"
45,9201046,"['Ramzi R. Khuri', 'HoSeong La']"
46,9201047,['18 pages']
47,9201048,"['A.P.Balachandran', 'G.Bimonte', 'K.S.Gupta', 'A.Stern']"
48,9201049,['Eric Smith']
49,9201050,"['H. Lu', 'C.N. Pope', 'S. Schrans', 'K.W. Xu']"
50,9201051,"['M. Bordemann', 'M. Forger', 'J. Laartz', 'U. Schaeper']"
51,9201052,"['J. Maharana', 'S. mukherji']"
52,9201053,['S.P. de Alwis']
53,9201054,['Michael B. Green']
54,9201055,"['C. Itzykson', 'J.-B. Zuber']"
55,9201056,"['Edward Witten', 'Barton Zwiebach']"
56,9201057,['C. M. Hull']
57,9201058,"['R.Efraty', 'V.P.Nair']"
58,9201059,"['Sidney Coleman', 'John Preskill', 'and Frank Wilczek']"
59,9201060,"['J.M. Lina', 'P.K. Panigrahi']"
60,9201061,"['T.Banks', 'A. Dabolkhar', 'M.R. Douglas', 'M. O Loughlin (Rutgers U)']"
